x,y,t0,t1,Nx,Ny
1.9275283351,1.8810862666,0.0963764168,0.0973275849,1.9465516985,1.8991884046
1.9465516985,1.8991884046,0.0973275849,0.0978566639,1.9571332786,1.9092536452
1.9571332786,1.9092536452,0.0978566639,0.0982874536,1.9657490728,1.9174469551
1.9657490728,1.9174469551,0.0982874536,0.0982914265,1.9658285302,1.9175225076
1.9658285302,1.9175225076,0.0982914265,0.0984569895,1.9691397908,1.9206708969
1.9691397908,1.9206708969,0.0984569895,0.0984714947,1.9694298933,1.9209467170
1.9694298933,1.9209467170,0.0984714947,0.0986006878,1.9720137563,1.9234032782
1.9720137563,1.9234032782,0.0986006878,0.0992496189,1.9849923773,1.9357399431
1.9849923773,1.9357399431,0.0992496189,0.0995520862,1.9910417246,1.9414886352
1.9910417246,1.9414886352,0.0995520862,0.1002523130,2.0050462596,1.9547936283
2.0050462596,1.9547936283,0.1002523130,0.1006586763,2.0131735265,1.9625126809
2.0131735265,1.9625126809,0.1006586763,0.1011031419,2.0220628376,1.9709536111
2.0220628376,1.9709536111,0.1011031419,0.1012247506,2.0244950129,1.9732627622
2.0244950129,1.9732627622,0.1012247506,0.1013935562,2.0278711234,1.9764678572
2.0278711234,1.9764678572,0.1013935562,0.1017923342,2.0358466834,1.9840382869
2.0358466834,1.9840382869,0.1017923342,0.1020022777,2.0400455532,1.9880232300
2.0400455532,1.9880232300,0.1020022777,0.1022728504,2.0454570075,1.9931583279
2.0454570075,1.9931583279,0.1022728504,0.1023507531,2.0470150614,1.9946366781
2.0470150614,1.9946366781,0.1023507531,0.1026186987,2.0523739745,1.9997209879
2.0523739745,1.9997209879,0.1026186987,0.1029847236,2.0596944722,2.0066652058
2.0596944722,2.0066652058,0.1029847236,0.1035597147,2.0711942937,2.0175712212
2.0711942937,2.0175712212,0.1035597147,0.1044504865,2.0890097308,2.0344602101
2.0890097308,2.0344602101,0.1044504865,0.1046582858,2.0931657162,2.0383989322
2.0931657162,2.0383989322,0.1046582858,0.1047515662,2.0950313242,2.0401668711
2.0950313242,2.0401668711,0.1047515662,0.1048718977,2.0974379540,2.0424473794
2.0974379540,2.0424473794,0.1048718977,0.1051922823,2.1038456470,2.0485185656
2.1038456470,2.0485185656,0.1051922823,0.1053522599,2.1070451986,2.0515497052
2.1070451986,2.0515497052,0.1053522599,0.1058222128,2.1164442564,2.0604525528
2.1164442564,2.0604525528,0.1058222128,0.1064455099,2.1289101980,2.0722569651
2.1289101980,2.0722569651,0.1064455099,0.1065775910,2.1315518198,2.0747579053
2.1315518198,2.0747579053,0.1065775910,0.1069191446,2.1383828910,2.0812243736
2.1383828910,2.0812243736,0.1069191446,0.1071905794,2.1438115874,2.0863624859
2.1438115874,2.0863624859,0.1071905794,0.1081357539,2.1627150784,2.1042483720
2.1627150784,2.1042483720,0.1081357539,0.1089745462,2.1794909241,2.1201136655
2.1794909241,2.1201136655,0.1089745462,0.1094692955,2.1893859099,2.1294682766
2.1893859099,2.1294682766,0.1094692955,0.1097313674,2.1946273476,2.1344224827
2.1946273476,2.1344224827,0.1097313674,0.1099001833,2.1980036662,2.1376134147
2.1980036662,2.1376134147,0.1099001833,0.1099044526,2.1980890523,2.1376941088
2.1980890523,2.1376941088,0.1099044526,0.1102410853,2.2048217066,2.1440562221
2.2048217066,2.1440562221,0.1102410853,0.1108900481,2.2178009629,2.1563179490
2.2178009629,2.1563179490,0.1108900481,0.1113662613,2.2273252262,2.1653130054
2.2273252262,2.1653130054,0.1113662613,0.1120361580,2.2407231599,2.1779626564
2.2407231599,2.1779626564,0.1120361580,0.1129368825,2.2587376507,2.1949639535
2.2587376507,2.1949639535,0.1129368825,0.1135896743,2.2717934858,2.2072804153
2.2717934858,2.2072804153,0.1135896743,0.1140286465,2.2805729308,2.2155602696
2.2805729308,2.2155602696,0.1140286465,0.1143106630,2.2862132603,2.2208786219
2.2862132603,2.2208786219,0.1143106630,0.1144304288,2.2886085759,2.2231369607
2.2886085759,2.2231369607,0.1144304288,0.1151919815,2.3038396307,2.2374936676
2.3038396307,2.2374936676,0.1151919815,0.1156111557,2.3122231145,2.2453934179
2.3122231145,2.2453934179,0.1156111557,0.1156402052,2.3128041030,2.2459408178
2.3128041030,2.2459408178,0.1156402052,0.1156582709,2.3131654180,2.2462812399
2.3131654180,2.2462812399,0.1156582709,0.1157312646,2.3146252927,2.2476566647
2.3146252927,2.2476566647,0.1157312646,0.1159022086,2.3180441718,2.2508775620
2.3180441718,2.2508775620,0.1159022086,0.1168272684,2.3365453670,2.2683023139
2.3365453670,2.2683023139,0.1168272684,0.1175713489,2.3514269785,2.2823118681
2.3514269785,2.2823118681,0.1175713489,0.1178754597,2.3575091932,2.2880360733
2.3575091932,2.2880360733,0.1178754597,0.1181718583,2.3634371651,2.2936142247
2.3634371651,2.2936142247,0.1181718583,0.1186643933,2.3732878661,2.3028816749
2.3732878661,2.3028816749,0.1186643933,0.1191331533,2.3826630651,2.3116995241
2.3826630651,2.3116995241,0.1191331533,0.1196476367,2.3929527345,2.3213749496
2.3929527345,2.3213749496,0.1196476367,0.1198697465,2.3973949299,2.3255511493
2.3973949299,2.3255511493,0.1198697465,0.1199954639,2.3999092782,2.3279147214
2.3999092782,2.3279147214,0.1199954639,0.1200470508,2.4009410164,2.3288845444
2.4009410164,2.3288845444,0.1200470508,0.1205015034,2.4100300679,2.3374270063
2.4100300679,2.3374270063,0.1205015034,0.1210358757,2.4207175141,2.3474690981
2.4207175141,2.3474690981,0.1210358757,0.1220321490,2.4406429792,2.3661837523
2.4406429792,2.3661837523,0.1220321490,0.1222420917,2.4448418346,2.3701261896
2.4448418346,2.3701261896,0.1222420917,0.1225243844,2.4504876882,2.3754265643
2.4504876882,2.3754265643,0.1225243844,0.1231001925,2.4620038508,2.3862355638
2.4620038508,2.3862355638,0.1231001925,0.1234298412,2.4685968231,2.3924221946
2.4685968231,2.3924221946,0.1234298412,0.1236547444,2.4730948876,2.3966424086
2.4730948876,2.3966424086,0.1236547444,0.1238614202,2.4772284036,2.4005201466
2.4772284036,2.4005201466,0.1238614202,0.1243704483,2.4874089661,2.4100689240
2.4874089661,2.4100689240,0.1243704483,0.1252816294,2.5056325882,2.4271551549
2.5056325882,2.4271551549,0.1252816294,0.1253373933,2.5067478669,2.4282005560
2.5067478669,2.4282005560,0.1253373933,0.1254454785,2.5089095695,2.4302267292
2.5089095695,2.4302267292,0.1254454785,0.1255797671,2.5115953422,2.4327439527
2.5115953422,2.4327439527,0.1255797671,0.1264186177,2.5283723535,2.4484640190
2.5283723535,2.4484640190,0.1264186177,0.1267720571,2.5354411416,2.4550853694
2.5354411416,2.4550853694,0.1267720571,0.1269432066,2.5388641328,2.4582912443
2.5388641328,2.4582912443,0.1269432066,0.1275023683,2.5500473657,2.4687630961
2.5500473657,2.4687630961,0.1275023683,0.1283830023,2.5676600466,2.4852490702
2.5676600466,2.4852490702,0.1283830023,0.1290754180,2.5815083608,2.4982060431
2.5815083608,2.4982060431,0.1290754180,0.1300363444,2.6007268887,2.5161796343
2.6007268887,2.5161796343,0.1300363444,0.1308407945,2.6168158910,2.5312193234
2.6168158910,2.5312193234,0.1308407945,0.1316225174,2.6324503487,2.5458279133
2.6324503487,2.5458279133,0.1316225174,0.1320994804,2.6419896072,2.5547382437
2.6419896072,2.5547382437,0.1320994804,0.1324112091,2.6482241825,2.5605605410
2.6482241825,2.5605605410,0.1324112091,0.1324922601,2.6498452014,2.5620742065
2.6498452014,2.5620742065,0.1324922601,0.1331533497,2.6630669941,2.5744179214
2.6630669941,2.5744179214,0.1331533497,0.1336478641,2.6729572817,2.5836485238
2.6729572817,2.5836485238,0.1336478641,0.1337169924,2.6743398489,2.5849386786
2.6743398489,2.5849386786,0.1337169924,0.1338324655,2.6766493095,2.5870936654
2.6766493095,2.5870936654,0.1338324655,0.1338778165,2.6775563308,2.5879399820
2.6775563308,2.5879399820,0.1338778165,0.1348078761,2.6961575226,2.6052917053
2.6961575226,2.6052917053,0.1348078761,0.1355535241,2.7110704818,2.6191966923
2.7110704818,2.6191966923,0.1355535241,0.1362085204,2.7241704074,2.6314066023
2.7241704074,2.6314066023,0.1362085204,0.1363926696,2.7278533912,2.6348385896
2.7278533912,2.6348385896,0.1363926696,0.1373429395,2.7468587904,2.6525433752
2.7468587904,2.6525433752,0.1373429395,0.1378756347,2.7575126935,2.6624642403
2.7575126935,2.6624642403,0.1378756347,0.1381937630,2.7638752605,2.6683876798
2.7638752605,2.6683876798,0.1381937630,0.1388515232,2.7770304646,2.6806317370
2.7770304646,2.6806317370,0.1388515232,0.1396270601,2.7925412028,2.6950626231
2.7925412028,2.6950626231,0.1396270601,0.1397037011,2.7940740213,2.6964884009
2.7940740213,2.6964884009,0.1397037011,0.1400527234,2.8010544684,2.7029806417
2.8010544684,2.7029806417,0.1400527234,0.1408678704,2.8173574073,2.7181386228
2.8173574073,2.7181386228,0.1408678704,0.1416821957,2.8336439149,2.7332746919
2.8336439149,2.7332746919,0.1416821957,0.1422150704,2.8443014083,2.7431757770
2.8443014083,2.7431757770,0.1422150704,0.1429020592,2.8580411841,2.7559361915
2.8580411841,2.7559361915,0.1429020592,0.1436740296,2.8734805926,2.7702694587
2.8734805926,2.7702694587,0.1436740296,0.1446739369,2.8934787386,2.7888259985
2.8934787386,2.7888259985,0.1446739369,0.1452549720,2.9050994395,2.7996044051
2.9050994395,2.7996044051,0.1452549720,0.1461992866,2.9239857316,2.8171145747
2.9239857316,2.8171145747,0.1461992866,0.1467196634,2.9343932688,2.8267599706
2.9343932688,2.8267599706,0.1467196634,0.1473173333,2.9463466667,2.8378346832
2.9463466667,2.8378346832,0.1473173333,0.1474517674,2.9490353482,2.8403252296
2.9490353482,2.8403252296,0.1474517674,0.1476819315,2.9536386294,2.8445888650
2.9536386294,2.8445888650,0.1476819315,0.1480472827,2.9609456547,2.8513556650
2.9609456547,2.8513556650,0.1480472827,0.1488711443,2.9774228862,2.8666097981
2.9774228862,2.8666097981,0.1488711443,0.1496555074,2.9931101474,2.8811262930
2.9931101474,2.8811262930,0.1496555074,0.1504594960,3.0091899202,2.8959996205
3.0091899202,2.8959996205,0.1504594960,0.1505417658,3.0108353165,2.8975212002
3.0108353165,2.8975212002,0.1505417658,0.1506068319,3.0121366370,2.8987245480
3.0121366370,2.8987245480,0.1506068319,0.1514477719,3.0289554388,2.9142733007
3.0289554388,2.9142733007,0.1514477719,0.1517387169,3.0347743389,2.9196511478
3.0347743389,2.9196511478,0.1517387169,0.1522624611,3.0452492210,2.9293299358
3.0452492210,2.9293299358,0.1522624611,0.1525862375,3.0517247493,2.9353119500
3.0517247493,2.9353119500,0.1525862375,0.1530013380,3.0600267600,2.9429797129
3.0600267600,2.9429797129,0.1530013380,0.1530475833,3.0609516667,2.9438338529
3.0609516667,2.9438338529,0.1530475833,0.1534316037,3.0686320735,2.9509257885
3.0686320735,2.9509257885,0.1534316037,0.1540780442,3.0815608837,2.9628606652
3.0815608837,2.9628606652,0.1540780442,0.1542084610,3.0841692206,2.9652679733
3.0841692206,2.9652679733,0.1542084610,0.1543473783,3.0869475660,2.9678320000
3.0869475660,2.9678320000,0.1543473783,0.1543720337,3.0874406746,2.9682870506
3.0874406746,2.9682870506,0.1543720337,0.1547452732,3.0949054639,2.9751749660
3.0949054639,2.9751749660,0.1547452732,0.1554132032,3.1082640634,2.9874977448
